architecture,compiler,optimization,label,num_basic_blocks,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,instruction_count,immediate_entropy,bitwise_op_density,table_lookup_presence,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
mips,gcc,O0,SHA-256,5,4,0,0,0.0,7.0,35,1.14009883143931,0.0572619047619047,1,52,0.1428571428571428,0.2289156626506024,0.0602409638554216,0.180722891566265,0.0,0.0,0.0120481927710843,1,1,0,0,1,0,40,6,1,19,0.180722891566265,4.489723704427158,2.3638845423619177,0.1142857142857142,25
riscv,gcc,O1,SHA-256,20,6,2,2,0.0833333333333333,2.55,51,0.8259481135556097,0.0444444444444444,1,36,0.0,0.2456140350877192,0.0350877192982456,0.1491228070175438,0.0,0.0,0.0350877192982456,1,1,0,0,0,0,104,8,4,28,0.1491228070175438,5.714372150361195,2.0706254479542774,0.1176470588235294,19
mips,gcc,O0,SHA-256,6,4,0,0,0.0,7.333333333333333,44,1.1299334401270045,0.2188041125541125,1,82,0.5,0.2454545454545454,0.0727272727272727,0.1909090909090909,0.0,0.0,0.009090909090909,1,1,0,0,4,0,48,9,1,27,0.1909090909090909,4.605023344100907,2.3518782012406603,0.0909090909090909,27
arm32,gcc,O1,SHA-256,3,1,0,0,0.0,2.0,6,0.7927933205220358,0.1118881118881118,1,30,0.0,0.0384615384615384,0.1538461538461538,0.0384615384615384,0.0,0.0,0.0,1,1,0,0,0,0,0,4,0,1,0.0384615384615384,2.918295834054489,1.643252475785101,0.1666666666666666,4
arm32,gcc,O1,SHA-256,3,1,0,0,0.0,2.0,6,0.8459047184698489,0.1118881118881118,1,28,0.0,0.0384615384615384,0.1538461538461538,0.0384615384615384,0.0,0.0,0.0,1,1,0,0,0,0,0,4,0,1,0.0384615384615384,3.084962500721156,1.643252475785101,0.1666666666666666,4
arm32,gcc,O1,SHA-256,3,1,0,0,0.0,1.6666666666666667,5,0.9407722958904484,0.1439393939393939,1,20,0.0,0.0476190476190476,0.1904761904761904,0.0476190476190476,0.0,0.0,0.0,1,1,0,0,0,0,0,4,0,1,0.0476190476190476,2.9219280948873623,1.8675769461761949,0.2,4
arm32,gcc,O1,SHA-256,3,1,0,0,0.0,1.6666666666666667,5,1.008962047584724,0.1439393939393939,1,18,0.0,0.0476190476190476,0.1904761904761904,0.0476190476190476,0.0,0.0,0.0,1,1,0,0,0,0,0,4,0,1,0.0476190476190476,2.9219280948873623,1.8675769461761949,0.2,4
avr,gcc,O2,SHA-256,1,225,0,0,0.0,4180.0,4180,2.041826845631584,0.2389089198934002,1,12288,0.0,0.126587239379213,0.1237654804828343,0.0537309923185452,0.1051105188901081,0.0,0.0100329205204577,1,1,0,0,0,0,4,3414,2938,4275,0.0537309923185452,6.514596253610935,2.290822226933153,0.0538277511961722,97
avr,gcc,O2,SHA-256,6,3,1,1,0.1428571428571428,10.333333333333334,62,1.4062827359726895,0.0802139037433155,1,164,0.2857142857142857,0.078853046594982,0.075268817204301,0.086021505376344,0.068100358422939,0.0,0.0,1,1,0,0,0,0,4,21,19,39,0.086021505376344,5.243370384275556,2.0875984373114185,0.0483870967741935,34
avr,gcc,O2,SHA-256,23,16,6,6,0.1621621621621621,8.826086956521738,203,0.9799156738212222,0.087994927536439,1,478,0.7297297297297297,0.1187363834422658,0.0762527233115468,0.0762527233115468,0.0642701525054466,0.0,0.0108932461873638,1,1,0,0,0,0,4,80,69,161,0.0762527233115468,6.143341997729883,2.4106568606932504,0.0788177339901477,79
avr,gcc,O2,SHA-256,9,8,3,3,0.2,5.333333333333333,48,1.2045083059841937,0.0870439186864307,1,116,0.5333333333333333,0.0814814814814814,0.0592592592592592,0.1333333333333333,0.0444444444444444,0.0,0.0222222222222222,1,1,0,0,0,0,4,11,9,28,0.1333333333333333,5.433174087129262,2.530690261726264,0.1666666666666666,32
riscv,gcc,O2,SHA-256,26,8,2,2,0.0625,2.1538461538461537,56,0.7858666743369902,0.0402777777777777,1,50,0.0,0.2258064516129032,0.0403225806451612,0.1290322580645161,0.0,0.0,0.0403225806451612,1,1,0,0,0,0,104,10,5,28,0.1290322580645161,5.759957588101518,2.1051710957631973,0.1428571428571428,24
x86,gcc,O3,SHA-256,1,3,0,0,0.0,12.0,12,1.5290161342862552,0.1052631578947368,1,32,0.0,0.087719298245614,0.1052631578947368,0.175438596491228,0.0,0.0,0.0,1,1,0,0,0,0,8,6,0,13,0.175438596491228,4.203386675328773,2.78439083322291,0.25,7
x86,gcc,O3,SHA-256,1,3,0,0,0.0,12.0,12,1.514130297140216,0.1052631578947368,1,32,0.0,0.087719298245614,0.1052631578947368,0.175438596491228,0.0,0.0,0.0,1,1,0,0,0,0,8,6,0,13,0.175438596491228,4.1462438181859165,2.78439083322291,0.25,7
x86,gcc,O3,SHA-256,4,5,0,0,0.0,7.5,30,1.3095051270032196,0.1211142993782879,1,90,1.7142857142857142,0.0955882352941176,0.1102941176470588,0.1470588235294117,0.0073529411764705,0.0147058823529411,0.0,1,1,0,0,0,0,8,15,1,28,0.1470588235294117,4.662573265150911,2.7648439131690146,0.1666666666666666,19
