has_aes_sbox,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,table_lookup_presence,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,rotate_ratio,num_conditional_edges,num_unconditional_edges,rodata_refs_count,stack_frame_size,bitwise_ops,arithmetic_ops,cyclomatic_complexity_density,architecture_arm32,architecture_arm64,architecture_avr,architecture_mips,architecture_riscv,architecture_x86,compiler_gcc,optimization_O0,optimization_O1,optimization_O2,optimization_O3,optimization_Os,label
1,4,7,5,0,0,0.0,7.5,3,7,30,1.3095051270032196,0.1211142993782879,1,90,1.7142857142857142,0.0955882352941176,0.1102941176470588,0.1470588235294117,0.0073529411764705,0.0,2,5,0,8,15,28,0.1666666666666666,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,4,7,5,0,0,0.0,7.5,3,7,30,1.3095051270032196,0.1211142993782879,1,90,1.7142857142857142,0.0955882352941176,0.1102941176470588,0.1470588235294117,0.0073529411764705,0.0,2,5,0,8,15,28,0.1666666666666666,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,1,2,3,0,0,0.0,13.0,1,3,13,1.5655364617231586,0.1034482758620689,1,32,0.0,0.0862068965517241,0.1034482758620689,0.1724137931034483,0.0,0.0,0,2,0,8,6,13,0.2307692307692307,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,1,2,3,0,0,0.0,13.0,1,3,13,1.565536461723159,0.1034482758620689,1,32,0.0,0.0862068965517241,0.1034482758620689,0.1724137931034483,0.0,0.0,0,2,0,8,6,13,0.2307692307692307,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,3,6,5,0,0,0.0,6.333333333333333,2,6,19,1.355741314216549,0.1626916037520018,1,80,1.6666666666666667,0.0531914893617021,0.1702127659574468,0.0957446808510638,0.0106382978723404,0.0,1,5,0,8,16,14,0.2631578947368421,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,3,6,5,0,0,0.0,6.333333333333333,2,6,19,1.355741314216549,0.1626916037520018,1,80,1.6666666666666667,0.0531914893617021,0.1702127659574468,0.0957446808510638,0.0106382978723404,0.0,1,5,0,8,16,14,0.2631578947368421,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,3,5,4,0,0,0.0,6.666666666666667,2,6,20,1.368783843072235,0.158625730994152,1,92,1.4,0.0833333333333333,0.1666666666666666,0.0925925925925925,0.0,0.0,1,4,0,12,18,16,0.2,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,6,11,7,2,2,0.1818181818181818,4.0,2,9,24,1.1936884807668866,0.1932074813172374,1,108,1.4545454545454546,0.072,0.168,0.104,0.008,0.0,3,8,0,20,21,18,0.2916666666666667,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,6,11,7,2,2,0.1818181818181818,4.0,2,9,24,1.1877811296025615,0.1932074813172374,1,108,1.4545454545454546,0.072,0.168,0.104,0.008,0.0,3,8,0,20,21,18,0.2916666666666667,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,3,5,4,0,0,0.0,6.666666666666667,2,6,20,1.368783843072235,0.158625730994152,1,92,1.4,0.0833333333333333,0.1666666666666666,0.0925925925925925,0.0,0.0,1,4,0,12,18,16,0.2,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
